BPC,CCR,Report_Date,Entry,Age,ctznRace,ctznSex,Closed,Unit,Administrative_Closure,Allegation,Finding,ofcrRace,ofcrSex,ObjectId
16-8,67134,2016/01/05 00:00:00+00,Walk In,36,Black,Male,2016/02/24 00:00:00+00,3RD PRECINCT,,Search,Exonerated,White,Male,31
16-9,67135,2016/01/06 00:00:00+00,Telephone (or TDD),42,Black,Female,2016/03/28 00:00:00+00,5TH PRECINCT,,Procedure,Exonerated,White,Male,32
16-9,67135,2016/01/06 00:00:00+00,Telephone (or TDD),42,Black,Female,2016/03/28 00:00:00+00,5TH PRECINCT,,Service,Exonerated,Black,Male,33
16-9,67135,2016/01/06 00:00:00+00,Telephone (or TDD),42,Black,Female,2016/03/28 00:00:00+00,5TH PRECINCT,,Service,Exonerated,Black,Male,34
16-9,67135,2016/01/06 00:00:00+00,Telephone (or TDD),42,Black,Female,2016/03/28 00:00:00+00,5TH PRECINCT,,Service,No Charge,White,Male,35
16-10,67136,2016/01/06 00:00:00+00,Telephone (or TDD),30,Black,Male,2016/04/12 00:00:00+00,2ND PRECINCT,,Entry,Exonerated,Black,Male,36
16-10,67136,2016/01/06 00:00:00+00,Telephone (or TDD),30,Black,Male,2016/04/12 00:00:00+00,2ND PRECINCT,,Entry,Exonerated,Other,Female,37
16-10,67136,2016/01/06 00:00:00+00,Telephone (or TDD),30,Black,Male,2016/04/12 00:00:00+00,2ND PRECINCT,,Entry,Exonerated,Black,Male,38
16-10,67136,2016/01/06 00:00:00+00,Telephone (or TDD),30,Black,Male,2016/04/12 00:00:00+00,2ND PRECINCT,,Procedure,Not Sustained,Other,Female,39
16-10,67136,2016/01/06 00:00:00+00,Telephone (or TDD),30,Black,Male,2016/04/12 00:00:00+00,2ND PRECINCT,,Property,Exonerated,Black,Male,40
16-10,67136,2016/01/06 00:00:00+00,Telephone (or TDD),30,Black,Male,2016/04/12 00:00:00+00,2ND PRECINCT,,Property,Exonerated,Other,Female,41
16-10,67136,2016/01/06 00:00:00+00,Telephone (or TDD),30,Black,Male,2016/04/12 00:00:00+00,2ND PRECINCT,,Property,Exonerated,Black,Male,42
16-10,67136,2016/01/06 00:00:00+00,Telephone (or TDD),30,Black,Male,2016/04/12 00:00:00+00,2ND PRECINCT,,Property,Not Sustained,Black,Male,43
16-10,67136,2016/01/06 00:00:00+00,Telephone (or TDD),30,Black,Male,2016/04/12 00:00:00+00,2ND PRECINCT,,Property,Not Sustained,Other,Female,44
16-10,67136,2016/01/06 00:00:00+00,Telephone (or TDD),30,Black,Male,2016/04/12 00:00:00+00,2ND PRECINCT,,Property,Not Sustained,Black,Male,45
16-11,67137,2016/01/06 00:00:00+00,Telephone (or TDD),44,Black,Female,2016/02/18 00:00:00+00,TRAFFIC ENFORCEMENT UNIT,,Demeanor,Not Sustained,Black,Male,46
16-12,67138,2016/01/07 00:00:00+00,Walk In,28,Black,Female,2016/01/29 00:00:00+00,UNKNOWN COMMAND,Transferred,Entry,Admin. Closure,Unknown,Unknown,47
16-12,67138,2016/01/07 00:00:00+00,Walk In,28,Black,Female,2016/01/29 00:00:00+00,UNKNOWN COMMAND,Transferred,Search,Admin. Closure,Unknown,Unknown,48
16-12,67138,2016/01/07 00:00:00+00,Walk In,28,Black,Female,2016/01/29 00:00:00+00,UNKNOWN COMMAND,Transferred,Service,Admin. Closure,Unknown,Unknown,49
16-13,67139,2016/01/07 00:00:00+00,Walk In,50,Black,Female,2016/03/15 00:00:00+00,12TH PRECINCT,,Demeanor,Not Sustained,White,Male,50
16-31,67157,2016/01/13 00:00:00+00,Telephone (or TDD),23,Black,Female,2016/04/12 00:00:00+00,2ND PRECINCT,,Harassment,Not Sustained,Asian,Male,51
16-31,67157,2016/01/13 00:00:00+00,Telephone (or TDD),23,Black,Female,2016/04/12 00:00:00+00,2ND PRECINCT,,Search,No Charge,Black,Male,52
16-31,67157,2016/01/13 00:00:00+00,Telephone (or TDD),23,Black,Female,2016/04/12 00:00:00+00,2ND PRECINCT,,Search,No Charge,White,Male,53
16-31,67157,2016/01/13 00:00:00+00,Telephone (or TDD),23,Black,Female,2016/04/12 00:00:00+00,2ND PRECINCT,,Search,Sustained,Asian,Male,54
16-31,67157,2016/01/13 00:00:00+00,Telephone (or TDD),23,Black,Female,2016/04/12 00:00:00+00,2ND PRECINCT,,Search,Sustained,Black,Male,55
16-31,67157,2016/01/13 00:00:00+00,Telephone (or TDD),23,Black,Female,2016/04/12 00:00:00+00,2ND PRECINCT,,Search,Sustained,Hispanic,Male,56
16-33,67159,2016/01/14 00:00:00+00,Telephone (or TDD),26,Black,Female,2016/03/28 00:00:00+00,12TH PRECINCT,,Demeanor,No Charge,Black,Male,57
16-33,67159,2016/01/14 00:00:00+00,Telephone (or TDD),26,Black,Female,2016/03/28 00:00:00+00,12TH PRECINCT,,Procedure,Exonerated,Black,Male,58
16-33,67159,2016/01/14 00:00:00+00,Telephone (or TDD),26,Black,Female,2016/03/28 00:00:00+00,12TH PRECINCT,,Procedure,Not Sustained,Black,Male,59
16-33,67159,2016/01/14 00:00:00+00,Telephone (or TDD),26,Black,Female,2016/03/28 00:00:00+00,12TH PRECINCT,,Service,No Charge,Black,Male,60
16-34,67160,2016/01/14 00:00:00+00,Telephone (or TDD),31,Black,Female,2016/03/15 00:00:00+00,DOWNTOWN SERVICES DIVISION,,Demeanor,Not Sustained,Black,Male,61
16-35,67161,2016/01/14 00:00:00+00,Telephone (or TDD),58,White,Female,2016/01/27 00:00:00+00,TELEPHONE CRIME REPORTING UNIT,Admin. Closure,Procedure,Admin. Closure,Black,Female,62
16-36,67162,2016/01/14 00:00:00+00,Telephone (or TDD),83,Unknown,Female,2016/04/15 00:00:00+00,MAJOR VIOLATORS,,Property,Exonerated,Black,Male,63
16-36,67162,2016/01/14 00:00:00+00,Telephone (or TDD),83,Unknown,Female,2016/04/15 00:00:00+00,MAJOR VIOLATORS,,Property,No Charge,White,Male,64
16-36,67162,2016/01/14 00:00:00+00,Telephone (or TDD),83,Unknown,Female,2016/04/15 00:00:00+00,MAJOR VIOLATORS,,Search,Exonerated,White,Male,65
16-36,67162,2016/01/14 00:00:00+00,Telephone (or TDD),83,Unknown,Female,2016/04/15 00:00:00+00,MAJOR VIOLATORS,,Search,Exonerated,White,Male,66
16-36,67162,2016/01/14 00:00:00+00,Telephone (or TDD),83,Unknown,Female,2016/04/15 00:00:00+00,MAJOR VIOLATORS,,Search,Exonerated,Black,Male,67
16-36,67162,2016/01/14 00:00:00+00,Telephone (or TDD),83,Unknown,Female,2016/04/15 00:00:00+00,MAJOR VIOLATORS,,Search,Exonerated,Hispanic,Male,68
16-36,67162,2016/01/14 00:00:00+00,Telephone (or TDD),83,Unknown,Female,2016/04/15 00:00:00+00,MAJOR VIOLATORS,,Search,Exonerated,White,Male,69
16-36,67162,2016/01/14 00:00:00+00,Telephone (or TDD),83,Unknown,Female,2016/04/15 00:00:00+00,MAJOR VIOLATORS,,Search,Exonerated,Black,Female,70
16-37,67163,2016/01/14 00:00:00+00,Walk In,39,Black,Male,2016/03/30 00:00:00+00,6TH PRECINCT,,Entry,Not Sustained,White,Male,71
16-37,67163,2016/01/14 00:00:00+00,Walk In,39,Black,Male,2016/03/30 00:00:00+00,6TH PRECINCT,,Entry,Not Sustained,White,Male,72
16-37,67163,2016/01/14 00:00:00+00,Walk In,39,Black,Male,2016/03/30 00:00:00+00,6TH PRECINCT,,Force,No Charge,White,Male,73
16-37,67163,2016/01/14 00:00:00+00,Walk In,39,Black,Male,2016/03/30 00:00:00+00,6TH PRECINCT,,Force,Not Sustained,White,Male,74
16-38,67164,2016/01/14 00:00:00+00,Telephone (or TDD),33,Black,Female,2016/03/07 00:00:00+00,9TH PRECINCT,,Demeanor,No Charge,Black,Male,75
16-38,67164,2016/01/14 00:00:00+00,Telephone (or TDD),33,Black,Female,2016/03/07 00:00:00+00,9TH PRECINCT,,Demeanor,Unfounded,White,Female,76
16-38,67164,2016/01/14 00:00:00+00,Telephone (or TDD),33,Black,Female,2016/03/07 00:00:00+00,9TH PRECINCT,,Harassment,No Charge,Black,Male,77
16-38,67164,2016/01/14 00:00:00+00,Telephone (or TDD),33,Black,Female,2016/03/07 00:00:00+00,9TH PRECINCT,,Procedure,No Charge,Black,Male,78
16-38,67164,2016/01/14 00:00:00+00,Telephone (or TDD),33,Black,Female,2016/03/07 00:00:00+00,9TH PRECINCT,,Procedure,Unfounded,White,Female,79
16-38,67164,2016/01/14 00:00:00+00,Telephone (or TDD),33,Black,Female,2016/03/07 00:00:00+00,9TH PRECINCT,,Search,No Charge,Black,Male,80
16-38,67164,2016/01/14 00:00:00+00,Telephone (or TDD),33,Black,Female,2016/03/07 00:00:00+00,9TH PRECINCT,,Service,No Charge,Black,Male,81
16-39,67165,2016/01/15 00:00:00+00,Online,40,Other,Female,2016/04/04 00:00:00+00,4TH PRECINCT,Admin.close/Inadequate Service,Service,Admin. Closure,Unknown,Unknown,82
16-40,67166,2016/01/15 00:00:00+00,Online,25,White,Male,2016/01/21 00:00:00+00,DOWNTOWN SERVICES DIVISION,Admin. Closure,Service,Admin. Closure,Black,Male,83
16-41,67167,2016/01/15 00:00:00+00,Telephone (or TDD),35,Black,Female,2016/02/24 00:00:00+00,HOMICIDE SECTION,,Demeanor,Not Sustained,White,Male,84
16-41,67167,2016/01/15 00:00:00+00,Telephone (or TDD),35,Black,Female,2016/02/24 00:00:00+00,HOMICIDE SECTION,,Procedure,No Charge,White,Male,85
16-41,67167,2016/01/15 00:00:00+00,Telephone (or TDD),35,Black,Female,2016/02/24 00:00:00+00,HOMICIDE SECTION,,Service,Not Sustained,White,Male,86
16-42,67168,2016/01/15 00:00:00+00,Online,46,White,Female,2016/01/21 00:00:00+00,ARSON,Transferred,Demeanor,Admin. Closure,Unknown,Unknown,87
16-43,67169,2016/01/15 00:00:00+00,Telephone (or TDD),53,Black,Male,2016/03/07 00:00:00+00,3RD PRECINCT,,Procedure,Unfounded,White,Male,88
16-44,67170,2016/01/16 00:00:00+00,Walk In,34,Black,Male,2016/02/24 00:00:00+00,UNKNOWN COMMAND,Admin. Closure,Force,Admin. Closure,Unknown,Unknown,89
16-45,67171,2016/01/16 00:00:00+00,Walk In,11,Black,Female,2016/04/04 00:00:00+00,9TH PRECINCT,,Demeanor,Unfounded,Black,Female,90
16-45,67171,2016/01/16 00:00:00+00,Walk In,11,Black,Female,2016/04/04 00:00:00+00,9TH PRECINCT,,Force,Unfounded,Black,Female,91
16-45,67171,2016/01/16 00:00:00+00,Walk In,1,Black,Female,2016/04/04 00:00:00+00,9TH PRECINCT,,Demeanor,Unfounded,Black,Female,92
16-45,67171,2016/01/16 00:00:00+00,Walk In,1,Black,Female,2016/04/04 00:00:00+00,9TH PRECINCT,,Force,Unfounded,Black,Female,93
16-46,67172,2016/01/17 00:00:00+00,Walk In,2,Black,Female,2016/03/30 00:00:00+00,8TH PRECINCT,,Demeanor,Not Sustained,Black,Male,94
16-47,67173,2016/01/17 00:00:00+00,Telephone (or TDD),30,White,Female,2016/02/24 00:00:00+00,COMMUNICATIONS OPERATIONS,,Demeanor,Unfounded,Black,Female,95
16-47,67173,2016/01/17 00:00:00+00,Telephone (or TDD),30,White,Female,2016/02/24 00:00:00+00,COMMUNICATIONS OPERATIONS,,Procedure,Unfounded,Black,Female,96
16-48,67174,2016/01/18 00:00:00+00,Walk In,2,Hispanic,Male,2016/02/24 00:00:00+00,4TH PRECINCT,Admin. Closure,Force,Admin. Closure,Black,Female,97
16-48,67174,2016/01/18 00:00:00+00,Walk In,2,Hispanic,Male,2016/02/24 00:00:00+00,4TH PRECINCT,Admin. Closure,Procedure,Admin. Closure,Black,Female,98
16-49,67175,2016/01/18 00:00:00+00,Telephone (or TDD),50,Black,Female,2016/03/22 00:00:00+00,10TH PRECINCT,,Service,Exonerated,Black,Male,99
16-49,67175,2016/01/18 00:00:00+00,Telephone (or TDD),50,Black,Female,2016/03/22 00:00:00+00,10TH PRECINCT,,Service,Exonerated,Hispanic,Male,100
16-73,67199,2016/01/26 00:00:00+00,Telephone (or TDD),22,Black,Male,2016/04/25 00:00:00+00,6TH PRECINCT,,Harassment,No Charge,Black,Male,101
16-73,67199,2016/01/26 00:00:00+00,Telephone (or TDD),22,Black,Male,2016/04/25 00:00:00+00,6TH PRECINCT,,Harassment,No Charge,Unknown,Unknown,102
16-73,67199,2016/01/26 00:00:00+00,Telephone (or TDD),22,Black,Male,2016/04/25 00:00:00+00,6TH PRECINCT,,Harassment,Not Sustained,Black,Male,103
16-73,67199,2016/01/26 00:00:00+00,Telephone (or TDD),22,Black,Male,2016/04/25 00:00:00+00,6TH PRECINCT,,Harassment,Not Sustained,Black,Male,104
16-73,67199,2016/01/26 00:00:00+00,Telephone (or TDD),22,Black,Male,2016/04/25 00:00:00+00,6TH PRECINCT,,Harassment,Unfounded,Black,Male,105
16-73,67199,2016/01/26 00:00:00+00,Telephone (or TDD),22,Black,Male,2016/04/25 00:00:00+00,6TH PRECINCT,,Harassment,Unfounded,Black,Male,106
16-73,67199,2016/01/26 00:00:00+00,Telephone (or TDD),22,Black,Male,2016/04/25 00:00:00+00,6TH PRECINCT,,Procedure,Sustained,Black,Male,107
16-73,67199,2016/01/26 00:00:00+00,Telephone (or TDD),22,Black,Male,2016/04/25 00:00:00+00,6TH PRECINCT,,Procedure,Sustained,Black,Male,108
16-74,67200,2016/01/26 00:00:00+00,Walk In,44,Black,Female,2016/04/01 00:00:00+00,8TH PRECINCT,Admin.close/Inadequate Service,Service,Admin. Closure,White,Male,109
16-74,67200,2016/01/26 00:00:00+00,Walk In,44,Black,Female,2016/04/01 00:00:00+00,8TH PRECINCT,Admin.close/Inadequate Service,Service,No Charge,Black,Male,110
16-75,67201,2016/01/27 00:00:00+00,Telephone (or TDD),29,Black,Male,2016/02/01 00:00:00+00,UNKNOWN COMMAND,Transferred,Arrest,Admin. Closure,Unknown,Unknown,111
16-75,67201,2016/01/27 00:00:00+00,Telephone (or TDD),29,Black,Male,2016/02/01 00:00:00+00,UNKNOWN COMMAND,Transferred,Procedure,Admin. Closure,Unknown,Unknown,112
16-75,67201,2016/01/27 00:00:00+00,Telephone (or TDD),29,Black,Male,2016/02/01 00:00:00+00,UNKNOWN COMMAND,Transferred,Property,Admin. Closure,Unknown,Unknown,113
16-76,67202,2016/01/27 00:00:00+00,Telephone (or TDD),24,Black,Female,2016/04/29 00:00:00+00,COMMUNICATIONS OPERATIONS,,Demeanor,Sustained,Black,Female,114
16-76,67202,2016/01/27 00:00:00+00,Telephone (or TDD),24,Black,Female,2016/04/29 00:00:00+00,COMMUNICATIONS OPERATIONS,,Service,Sustained,Black,Female,115
16-77,67203,2016/01/27 00:00:00+00,Telephone (or TDD),24,Arabic,Male,2016/03/09 00:00:00+00,DOWNTOWN SERVICES DIVISION,,Procedure,Exonerated,White,Male,116
16-77,67203,2016/01/27 00:00:00+00,Telephone (or TDD),24,Arabic,Male,2016/03/09 00:00:00+00,DOWNTOWN SERVICES DIVISION,,Procedure,Not Sustained,White,Male,117
16-77,67203,2016/01/27 00:00:00+00,Telephone (or TDD),24,Arabic,Male,2016/03/09 00:00:00+00,DOWNTOWN SERVICES DIVISION,,Procedure,Unfounded,White,Male,118
16-78,67204,2016/01/27 00:00:00+00,Telephone (or TDD),32,White,Female,2016/03/09 00:00:00+00,9TH PRECINCT,,Demeanor,Unfounded,White,Female,119
16-78,67204,2016/01/27 00:00:00+00,Telephone (or TDD),32,White,Female,2016/03/09 00:00:00+00,9TH PRECINCT,,Service,Exonerated,White,Female,120
16-79,67205,2016/01/27 00:00:00+00,Walk In,39,Black,Male,2016/04/25 00:00:00+00,TACTICAL RESPONSE UNIT,Admin. Closure,Procedure,Admin. Closure,Black,Male,121
16-79,67205,2016/01/27 00:00:00+00,Walk In,39,Black,Male,2016/04/25 00:00:00+00,TACTICAL RESPONSE UNIT,Admin. Closure,Service,Admin. Closure,Black,Male,122
16-80,67206,2016/01/28 00:00:00+00,Telephone (or TDD),32,Black,Female,2016/02/10 00:00:00+00,COMMUNICATIONS OPERATIONS,,Demeanor,Unfounded,Black,Female,123
16-81,67207,2016/01/28 00:00:00+00,Telephone (or TDD),29,Unknown,Male,2016/03/15 00:00:00+00,ABANDON VEHICLE TASK FORCE,,Procedure,Unfounded,Black,Male,124
16-82,67208,2016/01/28 00:00:00+00,Telephone (or TDD),68,Black,Male,2016/02/10 00:00:00+00,UNKNOWN COMMAND,Admin. Closure,Harassment,Admin. Closure,Unknown,Unknown,125
16-83,67209,2016/01/28 00:00:00+00,Telephone (or TDD),32,Black,Female,2016/03/28 00:00:00+00,6TH PRECINCT,,Demeanor,Unfounded,White,Male,126
16-84,67210,2016/01/28 00:00:00+00,Telephone (or TDD),22,Black,Male,2016/04/04 00:00:00+00,10TH PRECINCT,,Demeanor,No Charge,Black,Male,127
16-84,67210,2016/01/28 00:00:00+00,Telephone (or TDD),22,Black,Male,2016/04/04 00:00:00+00,10TH PRECINCT,,Demeanor,Not Sustained,Black,Male,128
16-85,67211,2016/01/28 00:00:00+00,Telephone (or TDD),28,Black,Male,2016/02/03 00:00:00+00,ARSON,Admin. Closure,Harassment,Admin. Closure,White,Male,129
16-85,67211,2016/01/28 00:00:00+00,Telephone (or TDD),28,Black,Male,2016/02/03 00:00:00+00,ARSON,Admin. Closure,Procedure,Admin. Closure,White,Male,130
16-86,67212,2016/01/29 00:00:00+00,Walk In,46,Black,Female,2016/04/12 00:00:00+00,12TH PRECINCT,,Harassment,Unfounded,Black,Male,131
16-87,67213,2016/01/29 00:00:00+00,Telephone (or TDD),34,Other,Male,2016/03/24 00:00:00+00,UNKNOWN COMMAND,,Procedure,Not Sustained,Unknown,Unknown,132
16-88,67214,2016/01/29 00:00:00+00,Telephone (or TDD),34,Other,Male,2016/02/01 00:00:00+00,UNKNOWN COMMAND,Duplication,Demeanor,Void,Unknown,Unknown,133
16-88,67214,2016/01/29 00:00:00+00,Telephone (or TDD),34,Other,Male,2016/02/01 00:00:00+00,UNKNOWN COMMAND,Duplication,Force,Void,Unknown,Unknown,134
16-89,67215,2016/01/29 00:00:00+00,Walk In,35,Black,Female,2016/05/02 00:00:00+00,5TH PRECINCT,,Procedure,Exonerated,White,Male,135
16-89,67215,2016/01/29 00:00:00+00,Walk In,35,Black,Female,2016/05/02 00:00:00+00,5TH PRECINCT,,Procedure,Exonerated,Black,Male,136
16-89,67215,2016/01/29 00:00:00+00,Walk In,35,Black,Female,2016/05/02 00:00:00+00,5TH PRECINCT,,Service,Unfounded,White,Male,137
16-89,67215,2016/01/29 00:00:00+00,Walk In,35,Black,Female,2016/05/02 00:00:00+00,5TH PRECINCT,,Service,Unfounded,Black,Male,138
16-90,67216,2016/01/30 00:00:00+00,Telephone (or TDD),40,Black,Male,2016/02/04 00:00:00+00,UNKNOWN COMMAND,Transferred,Force,Admin. Closure,Unknown,Unknown,139
16-91,67217,2016/01/31 00:00:00+00,Walk In,35,Black,Female,2016/03/22 00:00:00+00,9TH PRECINCT,Admin. Closure,Arrest,No Charge,Black,Female,140
16-91,67217,2016/01/31 00:00:00+00,Walk In,35,Black,Female,2016/03/22 00:00:00+00,9TH PRECINCT,Admin. Closure,Arrest,No Charge,White,Male,141
16-91,67217,2016/01/31 00:00:00+00,Walk In,35,Black,Female,2016/03/22 00:00:00+00,9TH PRECINCT,Admin. Closure,Arrest,No Charge,Black,Male,142
16-91,67217,2016/01/31 00:00:00+00,Walk In,35,Black,Female,2016/03/22 00:00:00+00,9TH PRECINCT,Admin. Closure,Demeanor,No Charge,Black,Female,143
16-91,67217,2016/01/31 00:00:00+00,Walk In,35,Black,Female,2016/03/22 00:00:00+00,9TH PRECINCT,Admin. Closure,Demeanor,No Charge,White,Male,144
16-91,67217,2016/01/31 00:00:00+00,Walk In,35,Black,Female,2016/03/22 00:00:00+00,9TH PRECINCT,Admin. Closure,Demeanor,No Charge,Black,Male,145
16-91,67217,2016/01/31 00:00:00+00,Walk In,35,Black,Female,2016/03/22 00:00:00+00,9TH PRECINCT,Admin. Closure,Procedure,Admin. Closure,Black,Female,146
16-91,67217,2016/01/31 00:00:00+00,Walk In,35,Black,Female,2016/03/22 00:00:00+00,9TH PRECINCT,Admin. Closure,Procedure,Admin. Closure,White,Male,147
16-91,67217,2016/01/31 00:00:00+00,Walk In,35,Black,Female,2016/03/22 00:00:00+00,9TH PRECINCT,Admin. Closure,Procedure,No Charge,Black,Male,148
16-91,67217,2016/01/31 00:00:00+00,Walk In,35,Black,Female,2016/03/22 00:00:00+00,9TH PRECINCT,Admin. Closure,Service,No Charge,Black,Female,149
16-91,67217,2016/01/31 00:00:00+00,Walk In,35,Black,Female,2016/03/22 00:00:00+00,9TH PRECINCT,Admin. Closure,Service,No Charge,White,Male,150
16-91,67217,2016/01/31 00:00:00+00,Walk In,35,Black,Female,2016/03/22 00:00:00+00,9TH PRECINCT,Admin. Closure,Service,No Charge,Black,Male,151
16-92,67218,2016/02/01 00:00:00+00,Telephone (or TDD),29,Black,Female,2016/05/02 00:00:00+00,6TH PRECINCT PDU,,Demeanor,Sustained,White,Male,152
16-92,67218,2016/02/01 00:00:00+00,Telephone (or TDD),29,Black,Female,2016/05/02 00:00:00+00,6TH PRECINCT PDU,,Procedure,Exonerated,White,Male,153
16-93,67219,2016/02/01 00:00:00+00,Telephone (or TDD),48,Black,Female,2016/04/04 00:00:00+00,UNKNOWN COMMAND,Transferred,Procedure,Admin. Closure,Unknown,Unknown,154
16-94,67220,2016/02/01 00:00:00+00,Telephone (or TDD),0,Black,Male,2016/02/03 00:00:00+00,MAJOR VIOLATORS,Duplication,Entry,Admin. Closure,Hispanic,Male,155
16-94,67220,2016/02/01 00:00:00+00,Telephone (or TDD),0,Black,Male,2016/02/03 00:00:00+00,MAJOR VIOLATORS,Duplication,Search,Admin. Closure,Hispanic,Male,156
16-94,67220,2016/02/01 00:00:00+00,Telephone (or TDD),0,Black,Male,2016/02/03 00:00:00+00,MAJOR VIOLATORS,Duplication,Service,Admin. Closure,Hispanic,Male,157
16-94,67220,2016/02/01 00:00:00+00,Telephone (or TDD),72,White,Male,2016/02/03 00:00:00+00,MAJOR VIOLATORS,Duplication,Entry,Admin. Closure,Hispanic,Male,158
16-94,67220,2016/02/01 00:00:00+00,Telephone (or TDD),72,White,Male,2016/02/03 00:00:00+00,MAJOR VIOLATORS,Duplication,Search,Admin. Closure,Hispanic,Male,159
16-94,67220,2016/02/01 00:00:00+00,Telephone (or TDD),72,White,Male,2016/02/03 00:00:00+00,MAJOR VIOLATORS,Duplication,Service,Admin. Closure,Hispanic,Male,160
