OBJECTID,TYPE,YEAR,DATE_,TIME,CCN,AGE,OFFENSE_DISTRICT,OFFENSE_PSA,OFFENSE_BLOCKX,OFFENSE_BLOCKY,DEFENDANT_PSA,DEFENDANT_DISTRICT,RACE,ETHNICITY,SEX,CATEGORY,DESCRIPTION,ADDRESS,ARREST_BLOCKX,ARREST_BLOCKY,DATETIME
11,Possession,2012,2012/01/21 05:00:00+00,,Juvenile,Juvenile,3D,305,,,505,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/01/21 05:00:00+00
12,Possession,2012,2012/01/22 05:00:00+00,,Juvenile,Juvenile,7D,708,,,708,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/01/22 05:00:00+00
13,Possession,2012,2012/01/24 05:00:00+00,,Juvenile,Juvenile,3D,301,,,207,2D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/01/24 05:00:00+00
14,Distribution,2012,2012/01/25 05:00:00+00,,Juvenile,Juvenile,6D,601,,,601,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Conspiracy To Distribute Marijuana,Juvenile,,,2012/01/25 05:00:00+00
15,Distribution,2012,2012/01/25 05:00:00+00,,Juvenile,Juvenile,7D,708,,,602,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Distributing Marijuana,Juvenile,,,2012/01/25 05:00:00+00
16,Possession,2012,2012/01/26 05:00:00+00,,Juvenile,Juvenile,1D,106,,,107,1D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/01/26 05:00:00+00
17,Possession,2012,2012/01/27 05:00:00+00,,Juvenile,Juvenile,6D,604,,,602,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/01/27 05:00:00+00
18,Possession,2012,2012/01/27 05:00:00+00,,Juvenile,Juvenile,6D,608,,,608,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/01/27 05:00:00+00
19,Possession,2012,2012/01/27 05:00:00+00,,Juvenile,Juvenile,6D,604,,,,,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/01/27 05:00:00+00
20,Possession,2012,2012/01/28 05:00:00+00,,Juvenile,Juvenile,1D,108,,,507,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/01/28 05:00:00+00
21,Possession,2012,2012/01/28 05:00:00+00,,Juvenile,Juvenile,4D,405,,,608,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/01/28 05:00:00+00
22,Possession,2012,2012/01/30 05:00:00+00,,Juvenile,Juvenile,7D,705,,,705,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/01/30 05:00:00+00
23,Possession,2012,2012/02/02 05:00:00+00,,Juvenile,Juvenile,5D,507,,,503,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/02/02 05:00:00+00
24,Possession with intent to distribute,2012,2012/02/03 05:00:00+00,,Juvenile,Juvenile,1D,102,,,107,1D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/02/03 05:00:00+00
25,Possession,2012,2012/02/07 05:00:00+00,,Juvenile,Juvenile,7D,707,,,704,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/02/07 05:00:00+00
26,Possession with intent to distribute,2012,2012/02/08 05:00:00+00,,Juvenile,Juvenile,2D,202,,,Out of State,Out of State,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/02/08 05:00:00+00
27,Possession with intent to distribute,2012,2012/02/08 05:00:00+00,,Juvenile,Juvenile,5D,507,,,507,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/02/08 05:00:00+00
28,Possession with intent to distribute,2012,2012/02/10 05:00:00+00,,Juvenile,Juvenile,3D,306,,,305,3D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/02/10 05:00:00+00
29,Possession,2012,2012/02/10 05:00:00+00,,Juvenile,Juvenile,Unk,,,,404,4D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/02/10 05:00:00+00
30,Possession,2012,2012/02/13 05:00:00+00,,Juvenile,Juvenile,7D,707,,,708,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/02/13 05:00:00+00
31,Possession with intent to distribute,2012,2012/02/14 05:00:00+00,,Juvenile,Juvenile,3D,302,,,404,4D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/02/14 05:00:00+00
32,Possession,2012,2012/02/15 05:00:00+00,,Juvenile,Juvenile,5D,507,,,602,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/02/15 05:00:00+00
33,Possession with intent to distribute,2012,2012/02/15 05:00:00+00,,Juvenile,Juvenile,6D,604,,,604,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/02/15 05:00:00+00
34,Possession,2012,2012/02/15 05:00:00+00,,Juvenile,Juvenile,7D,708,,,707,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/02/15 05:00:00+00
35,Possession,2012,2012/02/19 05:00:00+00,,Juvenile,Juvenile,5D,506,,,603,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/02/19 05:00:00+00
36,Possession,2012,2012/02/25 05:00:00+00,,Juvenile,Juvenile,6D,605,,,605,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/02/25 05:00:00+00
37,Possession,2012,2012/02/29 05:00:00+00,,Juvenile,Juvenile,7D,701,,,704,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/02/29 05:00:00+00
38,Possession,2012,2012/03/02 05:00:00+00,,Juvenile,Juvenile,3D,302,,,407,4D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/03/02 05:00:00+00
39,Possession with intent to distribute,2012,2012/03/09 05:00:00+00,,Juvenile,Juvenile,1D,108,,,701,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/03/09 05:00:00+00
40,Possession with intent to distribute,2012,2012/03/10 05:00:00+00,,Juvenile,Juvenile,3D,302,,,302,3D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/03/10 05:00:00+00
41,Possession,2012,2012/03/11 05:00:00+00,,Juvenile,Juvenile,7D,705,,,707,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/03/11 05:00:00+00
42,Possession with intent to distribute,2012,2012/03/12 04:00:00+00,,Juvenile,Juvenile,3D,308,,,502,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/03/12 04:00:00+00
43,Possession,2012,2012/03/15 04:00:00+00,,Juvenile,Juvenile,3D,302,,,306,3D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/03/15 04:00:00+00
44,Distribution,2012,2012/03/15 04:00:00+00,,Juvenile,Juvenile,6D,603,,,603,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Distributing Marijuana,Juvenile,,,2012/03/15 04:00:00+00
45,Possession,2012,2012/03/19 04:00:00+00,,Juvenile,Juvenile,1D,104,,,604,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/03/19 04:00:00+00
46,Possession,2012,2012/03/21 04:00:00+00,,Juvenile,Juvenile,4D,401,,,407,4D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/03/21 04:00:00+00
47,Possession,2012,2012/03/21 04:00:00+00,,Juvenile,Juvenile,4D,401,,,401,4D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/03/21 04:00:00+00
48,Possession,2012,2012/03/23 04:00:00+00,,Juvenile,Juvenile,6D,603,,,608,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/03/23 04:00:00+00
49,Possession with intent to distribute,2012,2012/03/29 04:00:00+00,,Juvenile,Juvenile,7D,708,,,402,4D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/03/29 04:00:00+00
50,Possession with intent to distribute,2012,2012/03/29 04:00:00+00,,Juvenile,Juvenile,7D,708,,,501,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/03/29 04:00:00+00
51,Possession with intent to distribute,2012,2012/03/29 04:00:00+00,,Juvenile,Juvenile,7D,708,,,502,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/03/29 04:00:00+00
52,Possession with intent to distribute,2012,2012/03/29 04:00:00+00,,Juvenile,Juvenile,Unk,,,,701,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/03/29 04:00:00+00
53,Possession,2012,2012/03/30 04:00:00+00,,Juvenile,Juvenile,1D,101,,,701,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/03/30 04:00:00+00
54,Possession,2012,2012/03/30 04:00:00+00,,Juvenile,Juvenile,1D,101,,,,,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/03/30 04:00:00+00
55,Possession with intent to distribute,2012,2012/03/31 04:00:00+00,,Juvenile,Juvenile,1D,102,,,102,1D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/03/31 04:00:00+00
56,Possession,2012,2012/03/31 04:00:00+00,,Juvenile,Juvenile,7D,701,,,701,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/03/31 04:00:00+00
57,Possession,2012,2012/04/02 04:00:00+00,,Juvenile,Juvenile,7D,704,,,604,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/04/02 04:00:00+00
58,Possession,2012,2012/04/06 04:00:00+00,,Juvenile,Juvenile,1D,101,,,404,4D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/04/06 04:00:00+00
59,Distribution,2012,2012/04/11 04:00:00+00,,Juvenile,Juvenile,2D,202,,,202,2D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Distributing Marijuana,Juvenile,,,2012/04/11 04:00:00+00
60,Distribution,2012,2012/04/12 04:00:00+00,,Juvenile,Juvenile,6D,603,,,306,3D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Distributing Marijuana,Juvenile,,,2012/04/12 04:00:00+00
61,Possession,2012,2012/04/13 04:00:00+00,,Juvenile,Juvenile,3D,302,,,304,3D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/04/13 04:00:00+00
62,Possession,2012,2012/04/14 04:00:00+00,,Juvenile,Juvenile,2D,202,,,404,4D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/04/14 04:00:00+00
63,Possession,2012,2012/04/18 04:00:00+00,,Juvenile,Juvenile,7D,706,,,704,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/04/18 04:00:00+00
64,Possession,2012,2012/04/19 04:00:00+00,,Juvenile,Juvenile,4D,404,,,404,4D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/04/19 04:00:00+00
65,Possession,2012,2012/04/19 04:00:00+00,,Juvenile,Juvenile,6D,603,,,604,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/04/19 04:00:00+00
66,Possession,2012,2012/04/19 04:00:00+00,,Juvenile,Juvenile,7D,705,,,502,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/04/19 04:00:00+00
67,Possession,2012,2012/04/19 04:00:00+00,,Juvenile,Juvenile,7D,705,,,502,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/04/19 04:00:00+00
68,Distribution,2012,2012/04/20 04:00:00+00,,Juvenile,Juvenile,1D,105,,,105,1D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Distributing Marijuana,Juvenile,,,2012/04/20 04:00:00+00
69,Distribution,2012,2012/04/21 04:00:00+00,,Juvenile,Juvenile,7D,705,,,704,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Distributing Marijuana,Juvenile,,,2012/04/21 04:00:00+00
70,Distribution,2012,2012/04/24 04:00:00+00,,Juvenile,Juvenile,6D,602,,,601,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Distributing Marijuana,Juvenile,,,2012/04/24 04:00:00+00
71,Possession with intent to distribute,2012,2012/04/26 04:00:00+00,,Juvenile,Juvenile,5D,501,,,603,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/04/26 04:00:00+00
72,Possession,2012,2012/04/27 04:00:00+00,,Juvenile,Juvenile,5D,502,,,504,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/04/27 04:00:00+00
73,Possession with intent to distribute,2012,2012/04/27 04:00:00+00,,Juvenile,Juvenile,Unk,,,,703,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/04/27 04:00:00+00
74,Distribution,2012,2012/05/01 04:00:00+00,,Juvenile,Juvenile,6D,604,,,103,1D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Distributing Marijuana,Juvenile,,,2012/05/01 04:00:00+00
75,Possession,2012,2012/05/02 04:00:00+00,,Juvenile,Juvenile,3D,302,,,302,3D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/05/02 04:00:00+00
76,Possession with intent to distribute,2012,2012/05/03 04:00:00+00,,Juvenile,Juvenile,6D,604,,,604,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/05/03 04:00:00+00
77,Possession,2012,2012/05/05 04:00:00+00,,Juvenile,Juvenile,7D,707,,,506,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/05/05 04:00:00+00
78,Possession,2012,2012/05/05 04:00:00+00,,Juvenile,Juvenile,7D,707,,,608,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/05/05 04:00:00+00
79,Possession,2012,2012/05/05 04:00:00+00,,Juvenile,Juvenile,7D,707,,,,,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/05/05 04:00:00+00
80,Possession,2012,2012/05/06 04:00:00+00,,Juvenile,Juvenile,4D,407,,,407,4D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/05/06 04:00:00+00
81,Possession,2012,2012/05/08 04:00:00+00,,Juvenile,Juvenile,6D,602,,,Out of State,Out of State,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/05/08 04:00:00+00
82,Possession with intent to distribute,2012,2012/05/09 04:00:00+00,,Juvenile,Juvenile,3D,305,,,409,4D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/05/09 04:00:00+00
83,Possession,2012,2012/05/09 04:00:00+00,,Juvenile,Juvenile,4D,405,,,Out of State,Out of State,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/05/09 04:00:00+00
84,Possession with intent to distribute,2012,2012/05/11 04:00:00+00,,Juvenile,Juvenile,6D,608,,,702,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/05/11 04:00:00+00
85,Possession,2012,2012/05/11 04:00:00+00,,Juvenile,Juvenile,7D,701,,,604,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/05/11 04:00:00+00
86,Possession with intent to distribute,2012,2012/05/12 04:00:00+00,,Juvenile,Juvenile,6D,608,,,,,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/05/12 04:00:00+00
87,Possession with intent to distribute,2012,2012/05/15 04:00:00+00,,Juvenile,Juvenile,6D,603,,,603,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/05/15 04:00:00+00
88,Possession,2012,2012/05/16 04:00:00+00,,Juvenile,Juvenile,1D,101,,,706,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/05/16 04:00:00+00
89,Possession,2012,2012/05/16 04:00:00+00,,Juvenile,Juvenile,3D,302,,,503,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/05/16 04:00:00+00
90,Distribution,2012,2012/05/16 04:00:00+00,,Juvenile,Juvenile,6D,604,,,604,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Distributing Marijuana,Juvenile,,,2012/05/16 04:00:00+00
91,Distribution,2012,2012/05/16 04:00:00+00,,Juvenile,Juvenile,6D,604,,,604,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Distributing Marijuana,Juvenile,,,2012/05/16 04:00:00+00
92,Possession,2012,2012/05/16 04:00:00+00,,Juvenile,Juvenile,7D,706,,,706,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/05/16 04:00:00+00
93,Possession,2012,2012/05/18 04:00:00+00,,Juvenile,Juvenile,3D,307,,,502,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/05/18 04:00:00+00
94,Possession,2012,2012/05/18 04:00:00+00,,Juvenile,Juvenile,3D,307,,,,,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/05/18 04:00:00+00
95,Possession,2012,2012/05/18 04:00:00+00,,Juvenile,Juvenile,6D,606,,,607,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/05/18 04:00:00+00
96,Possession,2012,2012/05/19 04:00:00+00,,Juvenile,Juvenile,3D,308,,,Out of State,Out of State,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/05/19 04:00:00+00
97,Possession,2012,2012/05/23 04:00:00+00,,Juvenile,Juvenile,1D,101,,,409,4D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/05/23 04:00:00+00
98,Possession,2012,2012/05/23 04:00:00+00,,Juvenile,Juvenile,7D,704,,,706,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/05/23 04:00:00+00
99,Possession with intent to distribute,2012,2012/05/24 04:00:00+00,,Juvenile,Juvenile,7D,701,,,507,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/05/24 04:00:00+00
100,Possession with intent to distribute,2012,2012/05/25 04:00:00+00,,Juvenile,Juvenile,7D,706,,,604,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Pwid Marijuana,Juvenile,,,2012/05/25 04:00:00+00
101,Possession,2012,2012/05/29 04:00:00+00,,Juvenile,Juvenile,6D,604,,,604,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/05/29 04:00:00+00
102,Possession,2012,2012/06/02 04:00:00+00,,Juvenile,Juvenile,3D,303,,,303,3D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/06/02 04:00:00+00
103,Possession,2012,2012/06/06 04:00:00+00,,Juvenile,Juvenile,4D,403,,,403,4D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/06/06 04:00:00+00
104,Possession,2012,2012/06/06 04:00:00+00,,Juvenile,Juvenile,6D,604,,,604,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/06/06 04:00:00+00
105,Possession,2012,2012/06/07 04:00:00+00,,Juvenile,Juvenile,3D,302,,,503,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/06/07 04:00:00+00
106,Possession,2012,2012/06/10 04:00:00+00,,Juvenile,Juvenile,7D,703,,,405,4D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/06/10 04:00:00+00
107,Possession,2012,2012/06/13 04:00:00+00,,Juvenile,Juvenile,6D,602,,,504,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Poss Marijuana,Juvenile,,,2012/06/13 04:00:00+00
108,Possession,2012,2012/06/13 04:00:00+00,,Juvenile,Juvenile,7D,706,,,,,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/06/13 04:00:00+00
109,Possession,2012,2012/06/20 04:00:00+00,,Juvenile,Juvenile,1D,106,,,603,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/06/20 04:00:00+00
110,Possession,2012,2012/06/26 04:00:00+00,,Juvenile,Juvenile,6D,604,,,604,6D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/06/26 04:00:00+00
111,Possession,2012,2012/06/29 04:00:00+00,,Juvenile,Juvenile,7D,703,,,505,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/06/29 04:00:00+00
112,Possession,2012,2012/06/30 04:00:00+00,,Juvenile,Juvenile,2D,207,,,703,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/06/30 04:00:00+00
113,Possession,2012,2012/06/30 04:00:00+00,,Juvenile,Juvenile,7D,707,,,703,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/06/30 04:00:00+00
114,Possession,2012,2012/07/04 04:00:00+00,,Juvenile,Juvenile,1D,102,,,502,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/07/04 04:00:00+00
115,Possession,2012,2012/07/07 04:00:00+00,,Juvenile,Juvenile,1D,101,,,401,4D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/07/07 04:00:00+00
116,Possession,2012,2012/07/07 04:00:00+00,,Juvenile,Juvenile,1D,102,,,502,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/07/07 04:00:00+00
117,Possession,2012,2012/07/07 04:00:00+00,,Juvenile,Juvenile,2D,208,,,,,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/07/07 04:00:00+00
118,Possession,2012,2012/07/07 04:00:00+00,,Juvenile,Juvenile,7D,704,,,507,5D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/07/07 04:00:00+00
119,Possession,2012,2012/07/07 04:00:00+00,,Juvenile,Juvenile,7D,701,,,,,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/07/07 04:00:00+00
120,Possession,2012,2012/07/09 04:00:00+00,,Juvenile,Juvenile,7D,708,,,708,7D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/07/09 04:00:00+00
121,Possession,2012,2012/07/10 04:00:00+00,,Juvenile,Juvenile,5D,502,,,105,1D,Juvenile,Juvenile,Juvenile,Narcotics,Ucsa Possession Marijuana,Juvenile,,,2012/07/10 04:00:00+00
